job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
112,w0,delay_lu.B.16,1475.446245,16,86.000000,1,COMPLETED_SUCCESSFULLY,1475.448045,25.905000,1501.353045,0.001800,25.906800,1.000069,27-31 40-50,-1.000000,""
114,w0,delay_is.B.1,1500.954053,1,70.000000,1,COMPLETED_SUCCESSFULLY,1500.955853,9.257000,1510.212853,0.001800,9.258800,1.000194,23,-1.000000,""
93,w0,delay_lu.B.1,1232.009499,1,420.000000,1,COMPLETED_SUCCESSFULLY,1232.011300,279.990000,1512.001300,0.001800,279.991800,1.000006,3,-1.000000,""
95,w0,delay_lu.B.1,1246.913575,1,420.000000,1,COMPLETED_SUCCESSFULLY,1246.915375,279.990000,1526.905375,0.001800,279.991800,1.000006,4,-1.000000,""
106,w0,delay_lu.C.8,1390.015051,8,269.000000,1,COMPLETED_SUCCESSFULLY,1390.016851,179.080000,1569.096851,0.001800,179.081800,1.000010,0 2 8-9 12-13 16-17,-1.000000,""
119,w0,delay_is.B.1,1568.282853,1,70.000000,1,COMPLETED_SUCCESSFULLY,1568.284653,9.257000,1577.541653,0.001800,9.258800,1.000194,29,-1.000000,""
120,w0,delay_is.B.1,1580.198110,1,70.000000,1,COMPLETED_SUCCESSFULLY,1580.199910,9.257000,1589.456910,0.001800,9.258800,1.000194,0,-1.000000,""
78,w0,delay_lu.C.2,1020.628181,2,891.000000,1,COMPLETED_SUCCESSFULLY,1020.629981,593.590000,1614.219981,0.001800,593.591800,1.000003,14-15,-1.000000,""
101,w0,delay_lu.C.4,1325.567043,4,436.000000,1,COMPLETED_SUCCESSFULLY,1325.568843,290.530000,1616.098843,0.001800,290.531800,1.000006,34-37,-1.000000,""
116,w0,delay_ft.B.1,1530.643048,1,149.000000,1,COMPLETED_SUCCESSFULLY,1530.644848,88.510000,1619.154848,0.001800,88.511800,1.000020,4,-1.000000,""
81,w0,delay_lu.C.2,1057.293576,2,891.000000,1,COMPLETED_SUCCESSFULLY,1057.295376,593.590000,1650.885376,0.001800,593.591800,1.000003,1 10,-1.000000,""
96,w0,delay_ft.C.1,1267.059563,1,580.000000,1,COMPLETED_SUCCESSFULLY,1267.061363,386.480000,1653.541363,0.001800,386.481800,1.000005,7,-1.000000,""
105,w0,delay_lu.B.1,1377.328638,1,420.000000,1,COMPLETED_SUCCESSFULLY,1377.330438,279.990000,1657.320438,0.001800,279.991800,1.000006,11,-1.000000,""
108,w0,delay_ft.C.2,1425.000570,2,399.000000,1,COMPLETED_SUCCESSFULLY,1425.002370,265.800000,1690.802370,0.001800,265.801800,1.000007,20-21,-1.000000,""
126,w0,delay_ft.C.16,1650.852367,16,102.000000,1,COMPLETED_SUCCESSFULLY,1650.854167,41.998000,1692.852167,0.001800,41.999800,1.000043,15-17 29-31 34-37 40-45,-1.000000,""
129,w0,delay_is.B.4,1698.313686,4,64.000000,1,COMPLETED_SUCCESSFULLY,1698.315486,3.993000,1702.308486,0.001800,3.994800,1.000451,15-17 20,-1.000000,""
118,w0,delay_ft.C.4,1559.885043,4,228.000000,1,COMPLETED_SUCCESSFULLY,1559.886843,151.940000,1711.826843,0.001800,151.941800,1.000012,25-28,-1.000000,""
109,w0,delay_lu.B.1,1438.958996,1,420.000000,1,COMPLETED_SUCCESSFULLY,1438.960796,279.990000,1718.950796,0.001800,279.991800,1.000006,22,-1.000000,""
127,w0,delay_lu.B.8,1674.299988,8,109.000000,1,COMPLETED_SUCCESSFULLY,1674.301788,48.800000,1723.101788,0.001800,48.801800,1.000037,1 7 10-11 46-49,-1.000000,""
123,w0,delay_lu.B.2,1617.044131,2,212.000000,1,COMPLETED_SUCCESSFULLY,1617.045931,140.950000,1757.995931,0.001800,140.951800,1.000013,12-13,-1.000000,""
